,SR,TaSharks,MaxL,Depth,Chla_median,Chla_sd,SST_median,SST_sd,pop_50km,pop_500km,Dist_nearest_pop,Dist_nearest_market,HDI,Dcoast_km,DCoralT_km,DistSeamount_km,GDP,Dist_SMT1500,FishingEffort01,FishingEffort05
CH2067,3,3.44,63.67,800,0.168960005,0.05886165,28.708,0.542751072,0,0,601.5461833,1220.296188,0.697912839,5.045376182,4651.46782,48.53795238,3032.239478,48.53795238,0,0
CH2068,4,3.33,55.42,800,0.168960005,0.05886165,28.708,0.542751072,0,0,601.6655131,1220.41798,0.697912839,5.069943406,4651.433268,48.48588602,3032.239478,48.48588602,0,0
CH2069,2,3.54,72.5,800,0.168960005,0.05886165,28.708,0.542751072,0,0,601.7838211,1220.536076,0.697912839,5.050297566,4651.445442,48.40297878,3032.239478,48.40297878,0,0
CH2070,3,3.43,91.54,800,0.168960005,0.05886165,28.71,0.542386932,0,0,602.863859,1221.58222,0.697912839,4.414289955,4652.114857,47.26854052,3032.239478,47.26854052,0,0
CH2071,3,3.28,50.91,800,0.168960005,0.05886165,28.71,0.543991833,0,0,602.9866215,1221.704712,0.697912839,4.41714032,4652.128459,47.18218222,3032.239478,47.18218222,0,0
CH2072,1,3.24,46,800,0.168960005,0.05886165,28.71,0.543991833,0,0,603.1123458,1221.829874,0.697912839,4.417903071,4652.147356,47.09044788,3032.239478,47.09044788,0,0
CH2073,1,3.24,46,800,0.168960005,0.05886165,28.71,0.543991833,0,0,603.2401519,1221.957138,0.697912839,4.422071436,4652.166044,46.99763949,3032.239478,46.99763949,0,0
CH2074,2,3.54,75.02,800,0.168960005,0.05886165,28.71,0.543991833,0,0,603.3622996,1222.078474,0.697912839,4.423741197,4652.189038,46.90551392,3032.239478,46.90551392,0,0
CH2075,3,3.36,56.6,800,0.168960005,0.05886165,28.71,0.543991833,0,0,603.4909859,1222.206306,0.697912839,4.428433206,4652.213236,46.80855616,3032.239478,46.80855616,0,0
CH2076,2,3.41,83,500,0.168960005,0.05886165,28.7065,0.54411326,0,0,605.090241,1223.796304,0.697912839,3.874957883,4652.490706,45.62686478,3032.239478,45.62686478,0,0
